<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://www.w3.org/2002/07/owl#sameAs>	<http://fr.dbpedia.org/resource/Napoléon_Ier>
<http://www.w3.org/2002/07/owl#sameAs>	<http://id.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://it.dbpedia.org/resource/Napoleone_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ja.dbpedia.org/resource/ナポレオン・ボナパルト>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ko.dbpedia.org/resource/나폴레옹_보나파르트>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nl.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pl.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pt.dbpedia.org/resource/Napoleão_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://af.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://als.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://am.dbpedia.org/resource/ናፖሌዎን_ቦናፓርት>
<http://www.w3.org/2002/07/owl#sameAs>	<http://an.dbpedia.org/resource/Napolión_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ar.dbpedia.org/resource/نابليون_الأول>
<http://www.w3.org/2002/07/owl#sameAs>	<http://arz.dbpedia.org/resource/نابوليون_بونابارت>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ast.dbpedia.org/resource/Napoleón_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://az.dbpedia.org/resource/Napoleon_Bonapart>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ba.dbpedia.org/resource/Наполеон_I_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://be.dbpedia.org/resource/Напалеон_I_Банапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bg.dbpedia.org/resource/Наполеон_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bn.dbpedia.org/resource/নেপোলিয়ন_বোনাপার্ট>
<http://www.w3.org/2002/07/owl#sameAs>	<http://br.dbpedia.org/resource/Napoleon_Iañ>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bs.dbpedia.org/resource/Napoleon_I,_car_Francuske>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ca.dbpedia.org/resource/Napoleó_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ce.dbpedia.org/resource/Наполеон_I>
