SELECT ?x ?y WHERE 
{ 
	 ?x ?y <http://dbpedia.org/resource/Napoleon>.
<http://dbpedia.org/resource/Outline_of_law>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Civil_law_(legal_system)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Braille>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Hypothermia>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Abacus>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Ancient_Egypt>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Napoleon>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Jean-Victor_Poncelet>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Equilibrium_constant>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Venice>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Dubrovnik>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Pewter>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Marc_Isambard_Brunel>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Nic%C3%A9phore_Ni%C3%A9pce>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/July_Revolution>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Th%C3%A9odore_G%C3%A9ricault>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/The_Raft_of_the_Medusa>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/England>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Life_(magazine)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Groucho_Marx>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Ludwig_Wittgenstein>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Leadership>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Arabic_alphabet>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Italian_language>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Mongol_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Leonardo_da_Vinci>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Duchy_of_Brabant>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Bologna>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/E._T._A._Hoffmann>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Moscow>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Milan>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/South_America>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Georges_Cuvier>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Ren%C3%A9_Primev%C3%A8re_Lesson>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/South_Africa>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Brazil>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Belarus>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Bipolar_disorder>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Germany>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Humphry_Davy>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Voltaic_pile>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Poison>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Bad_D%C3%BCrkheim>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Salt>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Star_Wars>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Adventure_fiction>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Dutch_language>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/British_Army>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/George_Washington>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Thomas_Jefferson>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Thomas_Paine>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Alexander_Hamilton>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/History_of_the_United_States_(1776%E2%80%9389)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Portugal>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Portuguese_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Nicolas_Sarkozy>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Mexico>	<http://dbpedia.org/ontology/wikiPageWikiLink>
