SELECT * WHERE 
{ 
	<http://dbpedia.org/resource/University_of_Glasgow> ?x ?y.
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Refectory>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/John_Logie_Baird>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Naval_architecture>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Academic_degree>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Role-playing_game>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Nine_Lessons_and_Carols>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/English-speaking_world>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Government_of_the_United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Palace_of_Westminster>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Thomas_Reid>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/James_II_of_Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Middle_class>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Francis_Hutcheson_(philosopher)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Joseph_Black>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/James_Watt>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/William_John_Macquorn_Rankine>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Dumfries_and_Galloway>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Listed_building>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Nirvana_(band)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Donald_Dewar>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/First_Minister_of_Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Mary,_Queen_of_Scots>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Pope_Nicholas_V>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Local_government_in_Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Deputy_First_Minister_of_Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Liberal_Democrats>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Emeli_Sand%C3%A9>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1451>
